EmployeeID,EmployeeName,SalesMonth,NetRevenue,InvoiceCount,UnitsSold,MonthlyContributionShare
21,Devon Brewer,2018-03,45224218.48,70087,912025,0.0438
21,Devon Brewer,2018-04,44140523.67,68462,891788,0.0443
21,Devon Brewer,2018-05,13230163.20,20304,265954,0.0441
21,Devon Brewer,Unknown,1875866.13,2959,38558,0.0434
22,Tonia Mc Millan,2018-01,45189550.61,69733,910292,0.0438
22,Tonia Mc Millan,2018-02,40639397.35,63271,823549,0.0437
22,Tonia Mc Millan,2018-03,44876967.55,69901,909105,0.0435
22,Tonia Mc Millan,2018-04,43121042.68,67050,872586,0.0432
22,Tonia Mc Millan,2018-05,13098513.09,20306,265644,0.0437
22,Tonia Mc Millan,Unknown,1855597.09,2963,38317,0.0429
23,Janet Flowers,2018-01,44513224.49,69853,904443,0.0432
23,Janet Flowers,2018-02,40642468.78,63409,825720,0.0437
23,Janet Flowers,2018-03,44406702.61,69357,900731,0.0430
23,Janet Flowers,2018-04,43501875.77,67837,882576,0.0436
23,Janet Flowers,2018-05,13108217.59,20401,266758,0.0437
23,Janet Flowers,Unknown,1828634.82,2846,37212,0.0423
3,Pablo Cline,2018-01,44920879.32,69772,908979,0.0436
3,Pablo Cline,2018-02,40250711.83,62786,818149,0.0433
3,Pablo Cline,2018-03,44281805.05,69728,905027,0.0429
3,Pablo Cline,2018-04,43273112.76,67762,878528,0.0434
3,Pablo Cline,2018-05,13047591.52,20293,265151,0.0435
3,Pablo Cline,Unknown,1755349.36,2834,37168,0.0406
4,Darnell Nielsen,2018-01,44873552.96,70155,909135,0.0435
4,Darnell Nielsen,2018-02,40513023.36,63066,821640,0.0436
4,Darnell Nielsen,2018-03,45135804.32,70403,917253,0.0437
4,Darnell Nielsen,2018-04,43558208.86,67742,878330,0.0437
4,Darnell Nielsen,2018-05,13133720.71,20401,265777,0.0438
4,Darnell Nielsen,Unknown,1921652.15,2977,39015,0.0445
5,Desiree Stuart,2018-01,45074093.45,70013,911971,0.0437
5,Desiree Stuart,2018-02,40293200.29,62624,811890,0.0434
5,Desiree Stuart,2018-03,45331009.39,70147,914864,0.0439
5,Desiree Stuart,2018-04,43506609.97,67671,879186,0.0436
5,Desiree Stuart,2018-05,13066784.51,20274,263869,0.0436
5,Desiree Stuart,Unknown,1950887.32,2982,38983,0.0452
6,Holly Collins,2018-01,44830573.11,69987,911426,0.0435
6,Holly Collins,2018-02,40480595.51,62879,816459,0.0436
6,Holly Collins,2018-03,44953519.45,70019,912137,0.0436
6,Holly Collins,2018-04,43415479.48,67674,880639,0.0435
6,Holly Collins,2018-05,13207509.50,20503,265794,0.0440
6,Holly Collins,Unknown,1897160.02,2911,37714,0.0439
7,Chadwick Cook,2018-01,44717546.76,69890,905424,0.0434
7,Chadwick Cook,2018-02,40618970.27,63133,821570,0.0437
7,Chadwick Cook,2018-03,45017024.74,70016,909562,0.0436
7,Chadwick Cook,2018-04,43530796.50,67692,879433,0.0437
7,Chadwick Cook,2018-05,13050792.71,20306,265960,0.0435
7,Chadwick Cook,Unknown,1859899.62,2930,38032,0.0430
8,Julie Dyer,2018-01,45099141.81,70208,914877,0.0438
8,Julie Dyer,2018-02,40288834.73,63007,819140,0.0434
8,Julie Dyer,2018-03,45043436.25,70196,911397,0.0436
8,Julie Dyer,2018-04,43655340.28,67878,885966,0.0438
8,Julie Dyer,2018-05,12963346.92,20256,263669,0.0432
8,Julie Dyer,Unknown,1812486.81,2904,37663,0.0420
9,Daphne King,2018-01,44918412.11,70159,914097,0.0436
9,Daphne King,2018-02,40239289.31,62939,819300,0.0433
9,Daphne King,2018-03,45025599.32,70450,916142,0.0436
9,Daphne King,2018-04,42835811.16,67329,872786,0.0430
9,Daphne King,2018-05,13003572.42,20379,265423,0.0434
9,Daphne King,Unknown,1831431.31,2924,37806,0.0424
