CustomerID,CustomerName,InvoiceCount,CustomerType,NetRevenue,AverageOrderValue,AverageBasketSize,UnitsSold
51149,Kisha Mc Bride,67,Repeat Customer,46891.81,699.88,13.0000,871
70699,Latonya Mosley,59,Repeat Customer,60384.80,1023.47,18.0000,1062
61998,Jodi Orozco,81,Repeat Customer,63307.44,781.57,16.0000,1296
22037,Shad Pierce,68,Repeat Customer,21520.55,316.48,6.0000,408
23796,Autumn Calderon,69,Repeat Customer,23542.77,341.20,7.0000,483
13389,Jarrod Adkins,66,Repeat Customer,12117.17,183.59,4.0000,264
74923,Marcos Daugherty,65,Repeat Customer,56740.03,872.92,19.0000,1235
69666,Sonya Becker,63,Repeat Customer,51012.85,809.73,18.0000,1134
26337,Marsha Montes,61,Repeat Customer,20981.97,343.97,7.0000,427
28160,Chandra Salas,61,Repeat Customer,21173.93,347.11,8.0000,488
86775,Tonia Chang,64,Repeat Customer,68122.63,1064.42,22.0000,1408
68391,Dwayne Bowen,68,Repeat Customer,56191.60,826.35,18.0000,1224
93402,Tonia Garza,64,Repeat Customer,74604.48,1165.69,24.0000,1536
16869,Tammy Golden,53,Repeat Customer,12990.04,245.10,5.0000,265
12478,Leonard Spears,76,Repeat Customer,15295.13,201.25,4.0000,304
42015,Erik Pace,58,Repeat Customer,31066.41,535.63,11.0000,638
30247,Allyson Abbott,68,Repeat Customer,26813.86,394.32,8.0000,544
75366,Tera Patel,80,Repeat Customer,74154.58,926.93,20.0000,1600
69334,Jaime Ritter,69,Repeat Customer,58656.28,850.09,18.0000,1242
3362,Darryl Vasquez,76,Repeat Customer,4110.57,54.09,1.0000,76
88382,Alejandro Davis,75,Repeat Customer,76709.91,1022.80,23.0000,1725
27995,Nichole Edwards,63,Repeat Customer,24689.45,391.90,8.0000,504
28582,Dion Terrell,70,Repeat Customer,32288.42,461.26,8.0000,560
43835,Deborah Lara,48,Repeat Customer,29838.14,621.63,12.0000,576
13816,Melisa Wang,70,Repeat Customer,13044.16,186.35,4.0000,280
1193,Rocky Pierce,62,Repeat Customer,2653.90,42.80,1.0000,62
12032,Jami Mathews,75,Repeat Customer,15726.64,209.69,4.0000,300
11652,Dwayne Franklin,71,Repeat Customer,9892.00,139.32,3.0000,213
76336,Antoine Dougherty,73,Repeat Customer,74568.10,1021.48,20.0000,1460
19976,Rachel Cross,76,Repeat Customer,22750.48,299.35,6.0000,456
83968,Jermaine Harmon,74,Repeat Customer,80443.60,1087.08,22.0000,1628
11207,Tamiko Collier,76,Repeat Customer,11723.37,154.25,3.0000,228
56472,Rebekah Downs,67,Repeat Customer,51848.47,773.86,15.0000,1005
98247,Kerry Fisher,68,Repeat Customer,88973.53,1308.43,25.0000,1700
40719,Erica Morton,73,Repeat Customer,43842.15,600.58,11.0000,803
42673,Bret Allison,88,Repeat Customer,46335.36,526.54,11.0000,968
34122,Matthew Cruz,73,Repeat Customer,28020.70,383.85,9.0000,657
79380,Penny Merritt,77,Repeat Customer,87888.26,1141.41,21.0000,1617
27404,Omar Fisher,68,Repeat Customer,22884.80,336.54,7.0000,476
77993,Darrell Houston,67,Repeat Customer,66879.27,998.20,20.0000,1340
47514,Molly Austin,68,Repeat Customer,43666.43,642.15,13.0000,884
64482,Natalie Riley,84,Repeat Customer,66939.68,796.90,17.0000,1428
39693,Heath Foley,73,Repeat Customer,44289.00,606.70,11.0000,803
17225,Barry Cervantes,72,Repeat Customer,18752.27,260.45,5.0000,360
803,Derick Dixon,61,Repeat Customer,3167.13,51.92,1.0000,61
45217,Jacquelyn Brock,62,Repeat Customer,38308.98,617.89,12.0000,744
50839,Karen Combs,73,Repeat Customer,46414.58,635.82,13.0000,949
82545,Susana George,74,Repeat Customer,76791.66,1037.73,21.0000,1554
64880,Damon Joyce,68,Repeat Customer,61470.40,903.98,17.0000,1156
45426,Timmy Bridges,63,Repeat Customer,40182.14,637.81,12.0000,756
17448,Stacie Duke,88,Repeat Customer,21049.19,239.20,5.0000,440
66538,Lakesha Barry,58,Repeat Customer,47280.92,815.19,17.0000,986
47301,Wayne Herrera,68,Repeat Customer,40099.54,589.70,12.0000,816
72059,Jonathon Roth,78,Repeat Customer,70054.78,898.14,19.0000,1482
30201,Dion Warner,80,Repeat Customer,31347.51,391.84,8.0000,640
23155,Mindy Peck,77,Repeat Customer,22911.17,297.55,6.0000,462
42117,Lakesha Richardson,58,Repeat Customer,33394.80,575.77,11.0000,638
18164,Bobby Murray,81,Repeat Customer,19274.94,237.96,5.0000,405
8222,Janette Bradley,69,Repeat Customer,9955.36,144.28,3.0000,207
22604,Derick Bolton,79,Repeat Customer,21588.05,273.27,6.0000,474
1358,Karen Burns,58,Repeat Customer,2980.13,51.38,1.0000,58
63272,Taryn Wang,63,Repeat Customer,55179.60,875.87,17.0000,1071
92090,Alonzo Blevins,76,Repeat Customer,88950.86,1170.41,24.0000,1824
6361,Anita Snow,71,Repeat Customer,6843.76,96.39,2.0000,142
42951,Leo Sandoval,61,Repeat Customer,38090.51,624.43,11.0000,671
75568,Marisol Waters,73,Repeat Customer,71724.33,982.53,20.0000,1460
11920,Arturo Burgess,69,Repeat Customer,13975.70,202.55,4.0000,276
93915,Alejandro Reed,70,Repeat Customer,76920.54,1098.86,24.0000,1680
74910,Cecilia Shea,77,Repeat Customer,70081.75,910.15,19.0000,1463
68565,Wade Krause,64,Repeat Customer,54523.72,851.93,18.0000,1152
7893,Carmen Hardin,65,Repeat Customer,7359.52,113.22,2.0000,130
49626,Priscilla Marquez,67,Repeat Customer,41909.79,625.52,13.0000,871
47963,Jimmie Sharp,79,Repeat Customer,46318.36,586.31,13.0000,1027
90100,Philip Carey,72,Repeat Customer,78948.24,1096.50,23.0000,1656
54608,Nancy Reyes,57,Repeat Customer,38229.50,670.69,14.0000,798
23900,Olga Nolan,73,Repeat Customer,25586.96,350.51,7.0000,511
87061,Carlos Le,67,Repeat Customer,68223.98,1018.27,23.0000,1541
11358,Victor Sandoval,51,Repeat Customer,6611.75,129.64,3.0000,153
43033,Brendan Hayden,58,Repeat Customer,32018.49,552.04,11.0000,638
67359,Carol Erickson,67,Repeat Customer,55701.28,831.36,18.0000,1206
49113,Frankie Bowman,68,Repeat Customer,48888.36,718.95,13.0000,884
28246,Sandra Blair,75,Repeat Customer,29768.06,396.91,8.0000,600
45532,Jeannie Gillespie,71,Repeat Customer,45302.35,638.06,12.0000,852
30910,Yesenia Huerta,56,Repeat Customer,21447.71,382.99,8.0000,448
2529,Shad Norman,68,Repeat Customer,3533.37,51.96,1.0000,68
17431,Stacie Lang,90,Repeat Customer,21966.96,244.08,5.0000,450
62666,Lesley Mckinney,67,Repeat Customer,47609.10,710.58,16.0000,1072
83172,Jerry Webster,75,Repeat Customer,83022.67,1106.97,22.0000,1650
68047,Bennie Bray,67,Repeat Customer,66025.56,985.46,18.0000,1206
17565,Bruce Hill,72,Repeat Customer,21037.73,292.19,5.0000,360
556,Brandi Sparks,61,Repeat Customer,3076.86,50.44,1.0000,61
15959,Gerald Matthews,66,Repeat Customer,16030.16,242.88,5.0000,330
71159,Larry Peters,74,Repeat Customer,68689.98,928.24,19.0000,1406
4801,Desiree Moody,71,Repeat Customer,7456.82,105.03,2.0000,142
76636,Clifton Shelton,65,Repeat Customer,62411.93,960.18,20.0000,1300
83001,Nick Wolfe,89,Repeat Customer,98452.24,1106.20,22.0000,1958
71152,Denise Gray,50,Repeat Customer,48755.56,975.11,19.0000,950
33333,Tracey Koch,66,Repeat Customer,29559.21,447.87,9.0000,594
73033,Janette Madden,65,Repeat Customer,59781.63,919.72,19.0000,1235
23994,Esteban Walter,49,Repeat Customer,18377.28,375.05,7.0000,343
33297,Cornelius Summers,63,Repeat Customer,26319.16,417.76,9.0000,567
55683,Tara Galloway,69,Repeat Customer,50943.68,738.31,15.0000,1035
7636,Bryce Thornton,71,Repeat Customer,6803.34,95.82,2.0000,142
95074,Gloria Allison,84,Repeat Customer,102670.27,1222.27,25.0000,2100
37533,Stephan Yu,63,Repeat Customer,30822.13,489.24,10.0000,630
66582,Kara Blanchard,67,Repeat Customer,56998.11,850.72,17.0000,1139
18575,Elias Rich,85,Repeat Customer,22029.43,259.17,5.0000,425
55960,Joanna Barry,79,Repeat Customer,62174.23,787.02,15.0000,1185
17451,Kristy Small,62,Repeat Customer,14747.89,237.87,5.0000,310
6301,Raul Schwartz,84,Repeat Customer,8470.67,100.84,2.0000,168
34853,Kim Dodson,62,Repeat Customer,27017.00,435.76,9.0000,558
30759,Sabrina Wilkerson,61,Repeat Customer,22738.74,372.77,8.0000,488
73891,Alberto Lindsey,66,Repeat Customer,55095.19,834.78,19.0000,1254
39622,Arthur Owens,58,Repeat Customer,28757.85,495.83,11.0000,638
72250,Casey Hawkins,70,Repeat Customer,69668.78,995.27,19.0000,1330
71872,Chester Glenn,78,Repeat Customer,69242.88,887.73,19.0000,1482
17740,Spencer Obrien,57,Repeat Customer,16922.62,296.89,5.0000,285
61181,Meghan Hudson,93,Repeat Customer,67889.88,730.00,16.0000,1488
3833,Todd Murphy,62,Repeat Customer,3218.18,51.91,1.0000,62
25521,Lynn Mahoney,71,Repeat Customer,25341.36,356.92,7.0000,497
12903,Vanessa Maldonado,70,Repeat Customer,14468.66,206.70,4.0000,280
27507,Brandi Skinner,62,Repeat Customer,22888.58,369.17,7.0000,434
25869,Jay Underwood,60,Repeat Customer,21697.04,361.62,7.0000,420
57346,Marilyn Lane,66,Repeat Customer,53724.15,814.00,15.0000,990
68009,Felix Andersen,75,Repeat Customer,73824.15,984.32,18.0000,1350
90694,Marisol Decker,67,Repeat Customer,82115.87,1225.61,23.0000,1541
77227,Jeanine Good,72,Repeat Customer,75798.11,1052.75,20.0000,1440
43163,Shelia Cordova,70,Repeat Customer,38648.84,552.13,11.0000,770
13465,Earnest Stephenson,63,Repeat Customer,12749.99,202.38,4.0000,252
70367,Corey Beasley,56,Repeat Customer,49994.63,892.76,18.0000,1008
51508,Latisha Thompson,69,Repeat Customer,52426.82,759.81,14.0000,966
53729,Andrew Camacho,73,Repeat Customer,51530.19,705.89,14.0000,1022
37085,Willie Bonilla,78,Repeat Customer,33789.79,433.20,10.0000,780
19039,Josh Horton,80,Repeat Customer,21020.03,262.75,5.0000,400
34062,Kenya Harding,70,Repeat Customer,32442.89,463.47,9.0000,630
92189,Dora Whitney,65,Repeat Customer,74910.02,1152.46,24.0000,1560
20611,Tanisha Carlson,63,Repeat Customer,18263.46,289.90,6.0000,378
49217,Rusty Miles,69,Repeat Customer,41525.94,601.83,13.0000,897
92136,Alonzo Meza,70,Repeat Customer,83729.10,1196.13,24.0000,1680
34706,Ray Nixon,57,Repeat Customer,25878.15,454.00,9.0000,513
97615,Keith Roy,82,Repeat Customer,97442.60,1188.32,25.0000,2050
6706,Dina Miller,73,Repeat Customer,7834.19,107.32,2.0000,146
65722,Gustavo Ibarra,80,Repeat Customer,69167.31,864.59,17.0000,1360
61746,Amber Martin,78,Repeat Customer,57860.80,741.81,16.0000,1248
81471,Nicole Clayton,67,Repeat Customer,64610.49,964.34,21.0000,1407
68557,Bonnie Leon,73,Repeat Customer,58935.59,807.34,18.0000,1314
40827,Donald Chambers,60,Repeat Customer,35602.36,593.37,11.0000,660
31537,Tisha Weaver,75,Repeat Customer,31616.26,421.55,8.0000,600
31310,Lakeisha Zhang,69,Repeat Customer,28277.94,409.83,8.0000,552
4765,Tim Hoover,86,Repeat Customer,7855.68,91.35,2.0000,172
65261,Rhonda Woodward,67,Repeat Customer,57464.43,857.68,17.0000,1139
9972,Vincent Huff,65,Repeat Customer,10210.24,157.08,3.0000,195
29500,Russell Chapman,78,Repeat Customer,33092.48,424.26,8.0000,624
47513,Ian Byrd,77,Repeat Customer,43071.48,559.37,13.0000,1001
11092,Alonzo Murillo,71,Repeat Customer,9768.20,137.58,3.0000,213
5790,Janelle Mercer,74,Repeat Customer,7477.14,101.04,2.0000,148
29815,Guy Hanna,74,Repeat Customer,29482.51,398.41,8.0000,592
49049,Clinton Gill,61,Repeat Customer,38857.91,637.01,13.0000,793
27066,Miranda Beck,73,Repeat Customer,23793.38,325.94,7.0000,511
45599,Terrence Hendrix,65,Repeat Customer,44181.99,679.72,12.0000,780
88114,Shirley Campos,75,Repeat Customer,92088.53,1227.85,23.0000,1725
74172,Greg Mckenzie,65,Repeat Customer,60877.90,936.58,19.0000,1235
42496,Orlando Noble,60,Repeat Customer,30267.37,504.46,11.0000,660
45844,Ramona Peterson,66,Repeat Customer,41087.33,622.54,12.0000,792
53552,Amy Love,68,Repeat Customer,49693.56,730.79,14.0000,952
79884,Jodi Silva,67,Repeat Customer,74116.11,1106.21,21.0000,1407
92433,Wanda Nicholson,62,Repeat Customer,78351.15,1263.73,24.0000,1488
54852,Heather Harris,77,Repeat Customer,56105.31,728.64,14.0000,1078
5561,Monte Abbott,78,Repeat Customer,8949.76,114.74,2.0000,156
78820,Johanna Fleming,60,Repeat Customer,56704.27,945.07,20.0000,1200
51262,Adrienne Knapp,90,Repeat Customer,54008.73,600.10,13.0000,1170
67283,Demetrius Medina,75,Repeat Customer,66938.48,892.51,18.0000,1350
67804,Troy Newman,70,Repeat Customer,65003.98,928.63,18.0000,1260
67886,Randal Jensen,77,Repeat Customer,75038.94,974.53,18.0000,1386
26666,Jayson Stephens,71,Repeat Customer,22849.94,321.83,7.0000,497
6197,Darius Dunn,69,Repeat Customer,7617.73,110.40,2.0000,138
60545,Rafael Baldwin,68,Repeat Customer,51970.53,764.27,16.0000,1088
62882,Kristi Cisneros,68,Repeat Customer,61997.22,911.72,16.0000,1088
74635,Patricia Carter,66,Repeat Customer,65302.84,989.44,19.0000,1254
98212,Alfonso Wood,67,Repeat Customer,77402.65,1155.26,25.0000,1675
49867,Serena Page,65,Repeat Customer,41928.64,645.06,13.0000,845
45691,Josh Hampton,74,Repeat Customer,41319.04,558.37,12.0000,888
11853,Christa Anthony,64,Repeat Customer,12819.91,200.31,4.0000,256
8701,Byron Ball,65,Repeat Customer,8455.71,130.09,3.0000,195
5106,Yvonne Newman,73,Repeat Customer,7880.42,107.95,2.0000,146
41537,Donnie Lopez,75,Repeat Customer,44466.94,592.89,11.0000,825
24229,Ben Shelton,67,Repeat Customer,22542.10,336.45,7.0000,469
88332,Monica Calderon,56,Repeat Customer,64030.85,1143.41,23.0000,1288
7948,Toni Rios,56,Repeat Customer,7389.02,131.95,3.0000,168
28272,Bobbi Villa,59,Repeat Customer,24010.11,406.95,8.0000,472
62375,Frederick Yates,65,Repeat Customer,51191.04,787.55,16.0000,1040
70321,Israel Lloyd,75,Repeat Customer,65170.56,868.94,18.0000,1350
22152,Marcia Frey,74,Repeat Customer,22037.16,297.80,6.0000,444
46537,Diana Mejia,77,Repeat Customer,47408.70,615.70,12.0000,924
45352,Nichole Fields,75,Repeat Customer,41776.40,557.02,12.0000,900
23443,Darryl Mc Intyre,56,Repeat Customer,16260.21,290.36,6.0000,336
62970,Kenya Franco,62,Repeat Customer,49585.43,799.76,16.0000,992
19879,Marilyn Walter,56,Repeat Customer,16953.83,302.75,6.0000,336
8194,Lesley Lindsey,67,Repeat Customer,10351.63,154.50,3.0000,201
1587,Darrell Moon,67,Repeat Customer,3056.64,45.62,1.0000,67
74883,Greg Castro,65,Repeat Customer,57273.85,881.14,19.0000,1235
84735,Russell Knight,65,Repeat Customer,70871.94,1090.34,22.0000,1430
25976,Malcolm Smith,74,Repeat Customer,26481.29,357.86,7.0000,518
51249,Tamiko Kirby,77,Repeat Customer,50556.37,656.58,13.0000,1001
52263,Rogelio Hudson,66,Repeat Customer,47752.31,723.52,14.0000,924
96738,Esmeralda Craig,81,Repeat Customer,106353.91,1313.01,25.0000,2025
40927,Rebekah Hart,66,Repeat Customer,31629.17,479.23,11.0000,726
60374,Don Chan,84,Repeat Customer,65184.86,776.01,16.0000,1344
20848,Latasha Lynch,78,Repeat Customer,19599.52,251.28,6.0000,468
4895,Tyson Wallace,65,Repeat Customer,5936.08,91.32,2.0000,130
44005,Roxanne Shaffer,72,Repeat Customer,37424.49,519.78,12.0000,864
65692,Jeannie Watkins,82,Repeat Customer,74052.68,903.08,17.0000,1394
73174,Fred Warner,74,Repeat Customer,64771.05,875.28,19.0000,1406
27613,Gwendolyn Brock,84,Repeat Customer,31948.19,380.34,7.0000,588
94492,Orlando Levy,85,Repeat Customer,92897.61,1092.91,24.0000,2040
42423,Courtney Willis,71,Repeat Customer,41846.76,589.39,11.0000,781
62319,Janice Parker,70,Repeat Customer,53730.10,767.57,16.0000,1120
33795,Josh Saunders,67,Repeat Customer,29293.35,437.21,9.0000,603
40739,Kent Brooks,51,Repeat Customer,26395.17,517.55,11.0000,561
12016,Cathy Cordova,68,Repeat Customer,13803.56,202.99,4.0000,272
55656,Otis Knapp,76,Repeat Customer,52307.37,688.25,15.0000,1140
4102,Randi Lyons,59,Repeat Customer,5606.34,95.02,2.0000,118
46905,Staci Kramer,61,Repeat Customer,28975.09,475.00,12.0000,732
76048,Cecilia Moses,85,Repeat Customer,80489.07,946.93,20.0000,1700
16446,Esther Buck,58,Repeat Customer,15042.23,259.35,5.0000,290
79700,Kim Dodson,78,Repeat Customer,89724.18,1150.31,21.0000,1638
45132,Tabatha Bray,63,Repeat Customer,36797.19,584.08,12.0000,756
21268,Hannah Gilmore,63,Repeat Customer,18171.51,288.44,6.0000,378
22534,Nichole Ray,72,Repeat Customer,21807.92,302.89,6.0000,432
3223,Joyce Horton,76,Repeat Customer,3859.70,50.79,1.0000,76
41987,Krista Nelson,50,Repeat Customer,28760.38,575.21,11.0000,550
40666,Whitney Palmer,71,Repeat Customer,39323.66,553.85,11.0000,781
54688,Amber Delgado,79,Repeat Customer,60783.36,769.41,14.0000,1106
73048,Veronica Duncan,83,Repeat Customer,80249.75,966.86,19.0000,1577
23329,Orlando Kane,91,Repeat Customer,24174.16,265.65,6.0000,546
63892,Vanessa Roberson,93,Repeat Customer,82668.17,888.91,17.0000,1581
19716,Tania Leon,75,Repeat Customer,17405.31,232.07,5.0000,375
59364,Mia Hanna,83,Repeat Customer,60507.25,729.00,16.0000,1328
55198,Dawn Gibbs,70,Repeat Customer,52230.24,746.15,14.0000,980
7127,Jerry Serrano,62,Repeat Customer,6093.80,98.29,2.0000,124
611,Kerrie Hudson,76,Repeat Customer,3398.59,44.72,1.0000,76
62614,Myron Warner,63,Repeat Customer,55698.88,884.11,16.0000,1008
67485,Joan Mckinney,61,Repeat Customer,54022.31,885.61,18.0000,1098
3053,Latoya Kirby,66,Repeat Customer,3495.26,52.96,1.0000,66
83026,Bernard Webb,67,Repeat Customer,70255.66,1048.59,22.0000,1474
95442,Alfred Manning,69,Repeat Customer,84302.56,1221.78,25.0000,1725
95906,Dena Jennings,70,Repeat Customer,78153.44,1116.48,25.0000,1750
93298,Colin Spears,65,Repeat Customer,84145.83,1294.55,24.0000,1560
50805,Kathy Griffith,56,Repeat Customer,36641.17,654.31,13.0000,728
2930,Cody Dyer,62,Repeat Customer,3173.70,51.19,1.0000,62
59884,Earl Pope,68,Repeat Customer,53935.64,793.17,16.0000,1088
29175,Sherman Hendricks,70,Repeat Customer,29616.52,423.09,8.0000,560
77900,Jake Barry,71,Repeat Customer,64274.93,905.28,20.0000,1420
94938,Tania Carter,67,Repeat Customer,78869.03,1177.15,25.0000,1675
44691,Raul Robinson,74,Repeat Customer,44505.08,601.42,12.0000,888
70782,Sam Cannon,69,Repeat Customer,66630.63,965.66,18.0000,1242
37830,Patricia Gonzalez,75,Repeat Customer,34289.52,457.19,10.0000,750
48687,Alexis Buckley,75,Repeat Customer,44156.42,588.75,13.0000,975
34803,Rusty Holmes,90,Repeat Customer,36620.36,406.89,9.0000,810
71322,Kristina Ross,59,Repeat Customer,53744.44,910.92,19.0000,1121
51607,Robin Lawrence,75,Repeat Customer,53805.97,717.41,14.0000,1050
19660,Robin Shea,79,Repeat Customer,19756.46,250.08,5.0000,395
37840,Daryl Herring,70,Repeat Customer,36336.42,519.09,10.0000,700
17625,Donnell Nichols,60,Repeat Customer,14450.41,240.84,5.0000,300
61668,Esteban Nash,65,Repeat Customer,48975.98,753.48,16.0000,1040
3339,Damien Wiley,59,Repeat Customer,2835.44,48.06,1.0000,59
11004,Justin Ferrell,80,Repeat Customer,11179.65,139.75,3.0000,240
127,Stacy Lutz,80,Repeat Customer,4198.50,52.48,1.0000,80
4285,Esmeralda Cantu,71,Repeat Customer,7001.49,98.61,2.0000,142
30600,Darryl Velasquez,70,Repeat Customer,28079.45,401.13,8.0000,560
22708,Joni Andrade,70,Repeat Customer,20025.88,286.08,6.0000,420
2956,Anne Phelps,63,Repeat Customer,3353.85,53.24,1.0000,63
33612,Hollie Best,74,Repeat Customer,33132.59,447.74,9.0000,666
11405,Christi Walsh,71,Repeat Customer,12041.38,169.60,3.0000,213
91801,Debra Barnett,89,Repeat Customer,110561.06,1242.26,24.0000,2136
35377,Beth Zavala,77,Repeat Customer,32548.39,422.71,9.0000,693
43852,Audrey Rojas,65,Repeat Customer,41364.14,636.37,12.0000,780
91781,Ruth Lamb,53,Repeat Customer,52569.88,991.88,24.0000,1272
19763,Nakia Sanchez,64,Repeat Customer,19601.07,306.27,6.0000,384
82554,Kareem Freeman,81,Repeat Customer,83302.18,1028.42,21.0000,1701
50593,Katina Chang,53,Repeat Customer,34737.32,655.42,13.0000,689
69222,Sandra Cantrell,65,Repeat Customer,54404.89,837.00,18.0000,1170
19605,Kristie Thomas,85,Repeat Customer,21543.70,253.46,5.0000,425
42099,Rita Berg,76,Repeat Customer,38641.75,508.44,11.0000,836
12812,Molly Farmer,60,Repeat Customer,12807.19,213.45,4.0000,240
61526,Antoine Coleman,75,Repeat Customer,56675.80,755.68,16.0000,1200
58510,Dean Lam,80,Repeat Customer,60481.95,756.02,15.0000,1200
28358,Eileen Bruce,60,Repeat Customer,22133.06,368.88,8.0000,480
51307,Daniel Ramsey,75,Repeat Customer,50737.44,676.50,13.0000,975
26063,Trent Horn,66,Repeat Customer,21869.57,331.36,7.0000,462
69788,Marisa Reynolds,63,Repeat Customer,58416.63,927.25,18.0000,1134
24561,Sonia Velazquez,81,Repeat Customer,28148.91,347.52,7.0000,567
82636,Amelia Gibbs,57,Repeat Customer,51676.59,906.61,21.0000,1197
54280,Jasmine Montoya,69,Repeat Customer,47690.91,691.17,14.0000,966
79711,Mathew Davis,79,Repeat Customer,85512.65,1082.44,21.0000,1659
24775,Gerald King,58,Repeat Customer,19674.15,339.21,7.0000,406
49860,Joyce Diaz,62,Repeat Customer,40816.36,658.33,13.0000,806
40145,Betty Hood,78,Repeat Customer,37004.18,474.41,11.0000,858
79688,Chester Garza,66,Repeat Customer,73548.77,1114.38,21.0000,1386
84438,Wanda Camacho,79,Repeat Customer,77514.42,981.20,22.0000,1738
95780,Cristina Costa,49,Repeat Customer,49466.12,1009.51,25.0000,1225
89014,Theresa Lang,77,Repeat Customer,84405.97,1096.18,23.0000,1771
20206,Timmy Suarez,65,Repeat Customer,18447.86,283.81,6.0000,390
78981,Scott Burch,62,Repeat Customer,59801.06,964.53,20.0000,1240
56929,Clinton Patterson,69,Repeat Customer,49022.48,710.47,15.0000,1035
50578,Monte Stone,61,Repeat Customer,34945.65,572.88,13.0000,793
44288,Elena Pierce,62,Repeat Customer,37176.42,599.62,12.0000,744
83533,Deanna Schultz,67,Repeat Customer,63460.09,947.17,22.0000,1474
51649,Angie Ortiz,65,Repeat Customer,46195.92,710.71,14.0000,910
35405,Lester Shields,77,Repeat Customer,33334.67,432.92,9.0000,693
92737,Leah Harvey,84,Repeat Customer,106279.03,1265.23,24.0000,2016
55665,Lee Camacho,57,Repeat Customer,45370.51,795.97,15.0000,855
15040,Hector Simmons,59,Repeat Customer,12966.29,219.77,4.0000,236
87527,Shanda Underwood,71,Repeat Customer,76454.78,1076.83,23.0000,1633
1014,Jaime Gray,68,Repeat Customer,3729.01,54.84,1.0000,68
49197,Kelly Lawrence,67,Repeat Customer,41655.75,621.73,13.0000,871
18235,Tracey Booth,75,Repeat Customer,19987.65,266.50,5.0000,375
74286,Marianne Pruitt,68,Repeat Customer,52271.50,768.70,19.0000,1292
48857,Elisabeth Larsen,68,Repeat Customer,41807.17,614.81,13.0000,884
40572,Shelia Wilkinson,76,Repeat Customer,42508.93,559.33,11.0000,836
51254,Jason Little,56,Repeat Customer,33713.35,602.02,13.0000,728
70528,Spencer Smith,74,Repeat Customer,72001.55,972.99,18.0000,1332
51737,Walter Galloway,67,Repeat Customer,44118.27,658.48,14.0000,938
4538,Kareem Baird,71,Repeat Customer,7535.56,106.13,2.0000,142
51680,Christie Graves,62,Repeat Customer,37404.04,603.29,14.0000,868
77154,Lamont Lewis,69,Repeat Customer,67531.88,978.72,20.0000,1380
93481,Shawna Meza,66,Repeat Customer,85367.46,1293.45,24.0000,1584
78092,Alfredo Rollins,61,Repeat Customer,62176.49,1019.29,20.0000,1220
30454,Neil Ali,70,Repeat Customer,25776.64,368.24,8.0000,560
